Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
TNKS2	PARP-5b, PARP-5c, PARP5B, PARP5C, pART6, TANK2, TNKL	ENSG00000107854	Q9H2K2	Microtubules
TRAPPC8	GSG1, HsT2706, KIAA1012, TRS85	ENSG00000153339	Q9Y2L5	Cytosol
TRMT112	HSPC152, HSPC170, hTrm112, TRM112, TRMT11-2	ENSG00000173113	Q9UI30	Microtubules
TSPAN12	NET-2, TM4SF12	ENSG00000106025	O95859	Microtubules
TSPAN33	MGC50844, Penumbra	ENSG00000158457	Q86UF1	Microtubules
TTLL6	FLJ35808	ENSG00000170703	Q8N841	Microtubules
TTLL9	C20orf125, dJ310O13.1	ENSG00000131044	Q3SXZ7	Nucleoplasm, Microtubules
TUBA1A	B-ALPHA-1, FLJ25113, TUBA3	ENSG00000167552	Q71U36	Microtubules
TUBA1B	K-ALPHA-1	ENSG00000123416	P68363	Microtubules
TUBA1C	bcm948, MGC10851, MGC14580, TUBA6	ENSG00000167553	Q9BQE3	Microtubules
TUBA3C	bA408E5.3, TUBA2	ENSG00000198033	Q13748	Microtubules
TUBA3D	H2-ALPHA	ENSG00000075886	Q13748	Microtubules
TUBA3E		ENSG00000152086	Q6PEY2	Microtubules
TUBA4A	FLJ30169, H2-ALPHA, TUBA1	ENSG00000127824	P68366	Microtubules
TUBA8	TUBAL2	ENSG00000183785	Q9NY65	Microtubules
TUBB	M40, MGC16435, OK/SW-cl.56, Tubb5	ENSG00000196230	P07437	Microtubules
TUBB2A	dJ40E16.7, TUBB, TUBB2	ENSG00000137267	Q13885	Microtubules
TUBB4A	beta-5, DYT4, TUBB4	ENSG00000104833	P04350	Microtubules
TUBB4B	Beta2, TUBB2C	ENSG00000188229	P68371	Microtubules
USP44	FLJ14528	ENSG00000136014	Q9H0E7	Nucleoli fibrillar center, Microtubules
VPS13C	FLJ10381, FLJ20136, KIAA1421	ENSG00000129003	Q709C8	Microtubules
VPS45	h-vps45, H1, VPS45A, VPS45B	ENSG00000136631	Q9NRW7	Microtubules
WBP1L	C10orf26, FLJ20154, OPAL1	ENSG00000166272	Q9NX94	Microtubules
WDR11	BRWD2, DR11, FLJ10506, HH14, KIAA1351, SRI1, WDR15	ENSG00000120008	Q9BZH6	Microtubules, Cytosol
WWC2	BOMB, FLJ22029	ENSG00000151718	Q6AWC2	Microtubules
ZBTB49	FLJ38559, ZNF509	ENSG00000168826	Q6ZSB9	Nucleoplasm
ZC4H2	HCA127, KIAA1166, WWS	ENSG00000126970	Q9NQZ6	Vesicles, Microtubules
ZDHHC18	DKFZp667O2416	ENSG00000204160	Q9NUE0	Microtubules
ZNF165	CT53, ZSCAN7	ENSG00000197279	P49910	Nuclear speckles, Microtubules
ZNF347	ZNF1111	ENSG00000197937	Q96SE7	Microtubules
ZNF397	MGC13250, ZNF47, ZSCAN15	ENSG00000186812	Q8NF99	Nucleoli, Plasma membrane, Cytosol
ZNF415		ENSG00000170954	Q09FC8	Nucleoli fibrillar center, Microtubules
ZNF44	KOX7, ZNF504, ZNF55, ZNF58	ENSG00000197857	P15621	Nucleoplasm
ZNF550	MGC41917	ENSG00000251369	Q7Z398	Vesicles
ZNF654	FLJ10997, FLJ21142	ENSG00000175105	Q8IZM8	Microtubules
ZNF835	BC37295_3	ENSG00000127903	Q9Y2P0	Microtubules
ZSCAN12	dJ29K1.2, KIAA0426, ZFP96, ZNF29K1, ZNF305, ZNF96	ENSG00000158691	O43309	Cytosol
