Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
SMPD4	FLJ20297, FLJ20756, KIAA1418, NET13, nSMase-3, NSMASE3	ENSG00000136699	Q9NXE4	Nuclear membrane
SNAPC4	FLJ13451, PTFalpha, SNAP190	ENSG00000165684	Q5SXM2	Nucleoplasm, Nuclear membrane
SNUPN	RNUT1, SNURPORTIN-1, Snurportin1	ENSG00000169371	O95149	Nuclear membrane
SSPN	KRAG, SPN1, SPN2	ENSG00000123096	Q14714	Nuclear membrane
SULT1E1	EST, STE	ENSG00000109193	P49888	Nuclear membrane, Cytosol
SUMO1	GMP1, OFC10, PIC1, SMT3C, SMT3H3, SUMO-1, UBL1	ENSG00000116030	P63165	Nucleoplasm, Nuclear membrane
SUN1	FLJ12407, KIAA0810, UNC84A	ENSG00000164828	O94901	Nuclear membrane
SUN2	UNC84B	ENSG00000100242	Q9UH99	Nuclear membrane
SYNE1	8B, ARCA1, C6orf98, CPG2, dJ45H2.2, enaptin, KIAA0796, MYNE1, Nesp1, Nesprin-1, SCAR8, SYNE-1B	ENSG00000131018	Q8NF91	Nucleoplasm, Nuclear membrane
SYNE2	DKFZP434H2235, KIAA1011, Nesp2, Nesprin-2, NUA, NUANCE, SYNE-2	ENSG00000054654	Q8WXH0	Nuclear membrane, Intermediate filaments
SYNE3	C14orf139, C14orf49, FLJ25605, LINC00341, NCRNA00341, Nesp3, Nesprin-3, NET53	ENSG00000176438	Q6ZMZ3	Nuclear membrane
TAF3	TAF140, TAFII140	ENSG00000165632	Q5VWG9	Nucleoplasm
TBC1D19	FLJ11082	ENSG00000109680	Q8N5T2	Nucleoplasm, Nuclear membrane
TCHHL1	S100A17, THHL1	ENSG00000182898	Q5QJ38	Nuclear membrane, Nucleoli
TEPSIN	C17orf56, ENTHD2, FLJ31528	ENSG00000167302	Q96N21	Nuclear membrane, Nuclear speckles, Golgi apparatus
TET1	bA119F7.1, CXXC6, KIAA1676, LCX	ENSG00000138336	Q8NFU7	Nucleoplasm
TFPT	amida, FB1, INO80F	ENSG00000105619	P0C1Z6	Nucleoplasm
TIAM1		ENSG00000156299	Q13009	Nucleoplasm, Cell Junctions
TIGD3		ENSG00000173825	Q6B0B8	Nucleoplasm, Nuclear membrane
TMEM109	MGC5508	ENSG00000110108	Q9BVC6	Nuclear membrane, Cytosol
TMEM154	FLJ32028	ENSG00000170006	Q6P9G4	Nuclear membrane
TMEM175	MGC4618	ENSG00000127419	Q9BSA9	Nucleoplasm, Nuclear membrane
TMEM201	Ima1, NET5, RP13-15M17.2, SAMP1	ENSG00000188807	Q5SNT2	Nuclear membrane
